#Modelo de Vallée 2005					
					
					
#	RGC	=8.50 r0	=2.71 p=1	2.0 k=0.2126	=2.71 p=1
#	For	mat: arm	X Y R		X Y R
4.0000	405.0000	8.6140	8.6140	12.1820	0.1140
4.0000	410.0000	7.9770	9.5060	12.4100	1.0060
4.0000	415.0000	7.2510	10.3560	12.6420	1.8560
4.0000	420.0000	6.4390	11.1530	12.8790	2.6530
4.0000	425.0000	5.5450	11.8910	13.1200	3.3910
4.0000	430.0000	4.5710	12.5600	13.3660	4.0600
4.0000	435.0000	3.5240	13.1520	13.6160	4.6520
4.0000	440.0000	2.4090	13.6600	13.8710	5.1600
4.0000	445.0000	1.2320	14.0770	14.1300	5.5770
4.0000	450.0000	0.0000	14.3950	14.3950	5.8950
4.0000	455.0000	-1.2780	14.6090	14.6640	6.1090
4.0000	460.0000	-2.5940	14.7120	14.9390	6.2120
4.0000	465.0000	-3.9390	14.7000	15.2190	6.2000
4.0000	470.0000	-5.3030	14.5690	15.5040	6.0690
4.0000	475.0000	-6.6750	14.3140	15.7940	5.8140
4.0000	480.0000	-8.0450	13.9340	16.0900	5.4340
4.0000	485.0000	-9.4010	13.4270	16.3910	4.9270
4.0000	490.0000	-10.7330	12.7910	16.6980	4.2910
4.0000	495.0000	-12.0280	12.0280	17.0100	3.5280
4.0000	500.0000	-13.2750	11.1390	17.3290	2.6390
4.0000	505.0000	-14.4610	10.1250	17.6530	1.6250
4.0000	510.0000	-15.5740	8.9920	17.9840	0.4920
4.0000	515.0000	-16.6040	7.7430	18.3200	-0.7570
4.0000	520.0000	-17.5380	6.3830	18.6630	-2.1170
4.0000	525.0000	-18.3650	4.9210	19.0130	-3.5790
