# Fotometría NGC 1261 Kravtsov+2010
#
# bs = candidatas a blue stragglers
#
# Xpos   Ypos    Vmag     U-B     B-V     V-I   bs
# pix     pix     mag     mag     mag     mag   
#  
1135.7  1103.9  16.459   0.294   0.817   0.898  99
1027.6  1109.6  16.463   0.013   0.325   0.494  99
1140.1  1091.9  16.466   0.278   0.852   0.934  99
 909.7   403.2  16.478   0.228   0.888   0.964  99
 997.9  1004.4  16.480   0.040   0.616   0.746  99
1093.2  1183.5  16.480   0.055   0.570   0.707  99
1048.7  1120.0  16.483   0.031   0.602   0.652  99
1136.7  1224.9  16.484   0.028   0.617   0.724  99
1687.7  1240.1  16.484   0.201   0.862   0.953  99
1119.3  1120.8  16.485   0.059   0.599   0.727  99
1191.2  1015.3  16.485   0.020   0.237   0.330  99
1083.3  1098.3  16.486   0.286   0.833   0.911  99
1070.0  1059.7  16.489   0.216   0.789   0.862  99
1114.9  1098.2  16.490   0.171   0.775   0.875  99
1020.2  1170.0  16.491   0.016   0.414   0.568  99
1078.2  1172.0  16.491   0.232   0.828   0.969  99
 992.1  1227.5  16.491   0.067   0.658   0.804  99
1008.9   963.7  16.492   0.311   0.856   0.929  99
1421.1  1124.7  16.494   0.285   0.848   0.933  99
1164.4  1282.3  16.495   0.060   0.580   0.732  99
1105.7  1160.2  16.501   0.252   0.863   0.943  99
1015.7  1066.7  16.502  -0.015   0.620   0.716  99
 773.4  2039.8  16.503  -0.041   0.602   0.784  99
1271.4  1023.6  16.510   0.322   0.837   0.930  99
1056.7  1117.9  16.513   0.070   0.611   0.807  99
1089.6  1029.9  16.514   0.053   0.625   0.751  99
1169.6  1194.9  16.521   0.041   0.606   0.735  99
 862.5  1494.1  16.522  -0.014   0.579   0.732  99
 987.8  1135.3  16.524   0.012   0.353   0.459  99
 955.2  1291.8  16.525   0.309   0.816   0.948  99
1182.0  1248.0  16.526   0.047   0.604   0.741  99
1646.6   749.6  16.526  -0.038   0.655   0.803  99
1094.8  1236.7  16.531   0.050   0.618   0.760  99
1132.2  1219.9  16.537   0.017   0.572   0.675  99
1056.4  1358.3  16.537   0.061   0.641   0.800  99
 972.8  1231.6  16.538  -0.030   0.252   0.357  99
1096.1  1094.8  16.541  99.999  99.999   0.926  99
1061.7  1130.0  16.542   0.123   0.135   0.166  99
1014.9   908.5  16.542   0.005   0.624   0.748  99
1067.2  1096.5  16.546   0.039   0.560   0.726  99
1068.0  1271.3  16.549   0.068   0.668   0.814  99
1042.1  1124.7  16.549   0.107   0.313   0.389  99
1114.2  1107.9  16.554   0.391   0.849   0.946  99
1118.2  1206.5  16.559   0.008   0.506   0.686  99
1051.7  1088.8  16.560   0.067   0.625   0.768  99
1234.7  1016.3  16.563   0.328   0.847   0.917  99
1026.5  1094.9  16.563   0.233   0.845   0.939  99
1186.2  1106.4  16.565   0.204   0.775   0.874  99
 973.0  1076.4  16.568   0.334   0.814   0.927  99
1046.6  1208.8  16.571   0.235   0.772   0.821  99
1076.8  1198.9  16.575   0.071   0.611   0.738  99
 705.7  1484.6  16.575   0.035   0.242   0.327  99
1190.9  1018.9  16.575  -0.029   0.651   0.777  99
 884.6   913.8  16.576   0.002   0.222   0.313  99
1038.6  1209.1  16.582   0.030   0.216   0.308  99
 625.2  1313.0  16.583   0.256   0.839   0.927  99
1021.8   908.8  16.583   0.248   0.829   0.916  99
1121.1  1049.0  16.585   0.019   0.472   0.602  99
1033.9  1129.3  16.586  -0.065   0.327   0.742  99
1110.9   913.6  16.587  99.999  99.999   0.928  99
1171.9  1167.1  16.593   0.022   0.613   0.729  99
1047.3  1257.2  16.594   0.018   0.576   0.707  99
1185.1  1052.9  16.595   0.008   0.538   0.655  99
1275.1  1303.0  16.596   0.025   0.433   0.536  99
1236.2  1318.0  16.596   0.028   0.535   0.682  99
 248.7  1011.2  16.598   0.006   0.087   0.122  99
1155.9  1360.1  16.599   0.281   0.816   0.928  99
 960.0  1085.8  16.599   0.029   0.615   0.764  99
 949.1  1086.8  16.600   0.208   0.826   0.935  99
 959.1   713.0  16.601   0.267   0.827   0.929  99
1170.4  1136.9  16.601   0.040   0.610   0.741  99
 993.8  1277.4  16.601   0.264   0.800   0.935  99
1183.7  1068.8  16.602   0.257   0.833   0.905  99
 837.7  1328.9  16.608   0.049   0.636   0.802  99
 609.8   783.9  16.612  -0.025   0.628   0.778  99
1015.9  1199.6  16.612   0.036   0.532   0.688  99
1088.5  1180.6  16.615  -0.013   0.562   0.682  99
 870.4  1112.1  16.615   0.106   0.613   0.761  99
1087.7  1086.2  16.615  99.999   0.856   0.939  99
1082.0  1377.4  16.618   0.025   0.593   0.754  99
1148.7  1242.9  16.618   0.017   0.575   0.693  99
 547.3   993.4  16.618   0.116   0.796   0.916  99
1077.2  1008.0  16.619   0.028   0.602   0.690  99
 871.5   573.9  16.621   0.216   0.833   0.934  99
 998.5  1078.1  16.622   0.252   0.822   0.927  99
1163.8  1053.9  16.624   0.089   0.212   0.269  99
